customer_id,registered_date,is_gross,is_valid,is_net,order_date
C993531L,2021-11-08,1,0,0,2022-02-23
C517907L,2022-08-15,1,1,1,2022-10-08
C192625L,2021-07-27,1,0,0,2021-08-07
C225180L,2021-10-11,1,1,1,2021-08-11
C708473L,2021-07-02,1,1,1,2021-09-18
C504900L,2021-11-17,1,1,0,2021-11-20
C218108L,2021-11-08,1,1,1,2021-06-11
C875194L,2021-07-21,1,1,0,2022-01-14
C652751L,2022-07-19,1,0,0,2022-07-26
C702126L,2021-09-23,1,1,0,2021-09-23
C597119L,2022-01-02,1,1,1,2022-04-16
C356814L,2021-11-13,1,0,0,2021-11-20
C800136L,2022-05-04,1,1,0,2022-01-05
C479992L,2021-09-19,1,1,1,2022-04-24
C872421L,2021-08-25,1,1,1,2021-10-23
C845061L,2021-11-23,1,1,1,2022-02-07
C452735L,2021-11-03,1,1,1,2022-01-15
C374625L,2021-08-02,1,1,1,2021-08-13
C908348L,2021-08-13,1,1,1,2021-08-20
C189144L,2022-07-01,1,0,0,2022-10-07
C194353L,2021-07-15,1,1,0,2021-07-14
C149895L,2022-07-20,1,1,0,2022-07-20
C224183L,2022-04-07,1,0,0,2022-04-16
C907186L,2022-05-08,1,0,0,2022-02-06
C809029L,2021-08-08,1,1,1,2021-01-10
C864005L,2021-07-25,1,0,0,2021-02-07
C850251L,2022-05-22,1,1,1,2022-06-05
C637564L,2022-08-11,1,1,1,2022-04-08
C879144L,2021-11-09,1,1,1,2021-11-15
C837608L,2022-02-19,1,1,0,2022-02-17
C494158L,2021-09-02,1,1,1,2021-09-14
C191776L,2022-02-27,1,1,1,2022-03-08
C620963L,2021-10-14,1,0,0,2021-10-20
C203544L,2021-11-20,1,0,0,2022-04-20
C654928L,2021-11-10,1,0,0,2021-11-25
C529046L,2021-10-01,1,0,0,2021-12-16
C706324L,2022-03-24,1,1,1,2022-02-03
C391618L,2022-06-02,1,0,0,2022-01-06
C556985L,2022-05-26,1,1,0,2022-03-05
C995184L,2022-03-14,1,1,1,2022-01-03
C216698L,2021-07-01,1,1,0,2021-07-31
C355284L,2021-08-24,1,1,0,2021-04-08
C615419L,2022-02-20,1,1,0,2022-02-27
C623383L,2021-10-06,1,1,1,2021-10-29
C469416L,2021-12-20,1,1,0,2021-12-25
C774952L,2022-02-05,1,1,0,2022-02-26
C413536L,2021-11-01,1,0,0,2021-12-12
C149990L,2021-12-08,1,1,0,2021-12-16
C536383L,2022-05-06,1,1,1,2022-07-05
C307127L,2021-10-03,1,1,1,2021-10-23
C920542L,2021-11-01,1,1,1,2021-09-11
C521347L,2021-08-19,1,1,1,2021-09-08
C642425L,2022-05-11,1,1,1,2022-05-24
C532671L,2021-11-07,1,1,1,2022-08-01
C378684L,2021-07-03,1,1,0,2022-01-31
C215074L,2021-09-13,1,1,1,2022-02-01
C474741L,2022-01-27,1,0,0,2022-01-15
C405771L,2021-07-06,1,1,1,2021-07-30
C778477L,2021-09-12,1,1,1,2021-09-14
C897819L,2021-08-06,1,1,1,2022-02-20
C421614L,2021-07-09,1,1,1,2022-06-17
C127410L,2021-11-03,1,0,0,2021-11-25
C191188L,2021-12-08,1,1,0,2022-02-23
C527055L,2022-07-16,1,0,0,2022-07-15
C297858L,2022-06-20,1,0,0,2022-06-15
C695592L,2021-07-13,1,1,1,2021-07-26
C256446L,2021-11-28,1,1,0,2022-05-28
C398847L,2022-07-14,1,0,0,2022-07-17
C751329L,2021-09-12,1,1,1,2021-09-24
C943270L,2021-09-19,1,1,0,2021-12-31
C720280L,2021-12-28,1,0,0,2021-09-12
C617766L,2022-07-20,1,0,0,2022-05-07
C752545L,2022-04-17,1,1,0,2022-04-28
C480851L,2022-07-25,1,0,0,2022-07-07
C444616L,2021-12-21,1,0,0,2022-10-04
C958287L,2021-07-15,1,1,0,2021-08-17
C661647L,2021-11-09,1,0,0,2022-06-05
C701732L,2021-12-03,1,1,1,2021-08-12
C139855L,2021-07-09,1,1,0,2021-10-10
C441523L,2022-01-21,1,1,1,2022-01-27
C697369L,2022-05-19,1,1,1,2022-05-20
C806665L,2021-11-22,1,0,0,2021-11-17
C700603L,2021-11-01,1,0,0,2021-05-11
C400506L,2021-07-06,1,1,1,2021-07-29
C350808L,2021-11-04,1,1,0,2022-06-24
C738725L,2021-08-27,1,1,0,2021-09-16
C734785L,2021-08-28,1,1,1,2021-11-08
C621883L,2021-07-02,1,1,1,2021-08-14
C972737L,2021-07-21,1,1,0,2022-03-20
C373791L,2022-04-22,1,1,1,2022-09-04
C487680L,2021-09-25,1,1,1,2021-09-27
C415016L,2021-11-19,1,1,1,2022-01-19
C219951L,2021-09-23,1,1,1,2021-09-13
C830977L,2022-05-26,1,0,0,2022-06-22
C503615L,2021-07-15,1,1,1,2022-07-30
C483318L,2022-01-06,1,1,1,2022-01-22
C283866L,2021-07-18,1,0,0,2021-01-09
C899192L,2021-07-13,1,1,0,2021-08-31
C898759L,2021-09-08,1,1,1,2022-02-27
C811261L,2021-08-26,1,1,1,2022-02-15
C565819L,2021-11-04,1,1,1,2021-11-28
C941247L,2021-09-21,1,0,0,2021-01-09
C846307L,2021-11-09,1,1,1,2021-03-11
C788509L,2021-07-20,1,1,0,2021-08-30
C875936L,2021-10-07,1,1,1,2022-01-16
C172885L,2021-09-22,1,1,0,2022-05-15
C260117L,2021-12-23,1,0,0,2021-01-12
C522216L,2022-05-12,1,1,0,2022-05-31
C471171L,2021-11-19,1,1,1,2022-05-01
C434388L,2021-12-27,1,1,0,2021-12-20
C245825L,2021-07-18,1,1,1,2021-10-07
C225630L,2021-07-16,1,1,1,2021-07-14
C533639L,2021-09-04,1,0,0,2022-06-14
C980973L,2021-10-27,1,0,0,2021-11-28
C956932L,2022-03-01,1,1,0,2022-04-03
C304970L,2021-11-24,1,1,1,2021-12-24
C948604L,2022-06-22,1,0,0,2022-07-06
C439232L,2021-07-10,1,1,0,2021-10-17
C314557L,2022-05-13,1,0,0,2022-05-22
C287848L,2021-08-27,1,1,1,2022-03-02
C867007L,2022-06-05,1,1,0,2022-06-30
C289850L,2022-04-16,1,1,1,2022-04-28
C301066L,2022-03-13,1,1,1,2022-03-29
C266096L,2021-09-09,1,1,1,2021-09-30
C986058L,2021-09-28,1,1,0,2022-10-07
C969119L,2021-11-16,1,1,1,2022-03-31
C942480L,2022-02-24,1,1,1,2022-02-20
C765912L,2021-10-03,1,1,0,2021-12-29
C607344L,2022-04-08,1,1,1,2022-09-05
C184107L,2021-12-27,1,1,0,2021-09-12
C822607L,2021-11-01,1,1,0,2022-02-22
C670896L,2022-03-12,1,1,1,2022-09-03
C188809L,2021-07-12,1,1,1,2022-06-20
C433401L,2021-08-22,1,1,1,2021-04-08
C517976L,2022-06-13,1,0,0,2022-06-25
C204382L,2021-07-28,1,1,0,2021-07-28
C872920L,2021-09-18,1,1,0,2022-05-03
C378684L,2021-07-03,1,1,0,2022-04-27
C555245L,2021-08-06,1,1,1,2021-08-09
C363466L,2021-11-24,1,1,0,2022-04-25
C910983L,2021-09-12,1,1,0,2021-09-18
C467527L,2021-11-28,1,1,1,2022-04-04
C378684L,2021-07-03,1,1,0,2021-10-15
C598984L,2022-06-16,1,1,1,2022-06-18
C828643L,2021-10-17,1,1,1,2021-10-20
C574874L,2022-03-07,1,0,0,2022-03-23
C931442L,2021-07-28,1,1,1,2021-04-07
C670551L,2021-09-14,1,0,0,2021-11-29
C959097L,2021-08-16,1,1,1,2022-04-02
C474548L,2021-08-10,1,1,1,2021-08-14
C500105L,2021-11-03,1,1,0,2022-06-03
C491827L,2021-11-27,1,1,1,2021-12-12
